site,species,scenario,occurence_years,overall_presence
11_101,Abiesalba,rcp26,2,0
11_101,Abiesalba,rcp45,1,0
11_101,Abiesalba,rcp85,0,0
11_101,Acercampestre,rcp26,3,0
11_101,Acercampestre,rcp45,5,0
11_101,Acercampestre,rcp85,5,0
11_101,Acerplatanoides,rcp26,0,0
11_101,Acerplatanoides,rcp45,1,0
11_101,Acerplatanoides,rcp85,1,0
11_101,Acerpseudoplatanus,rcp26,8,1
11_101,Acerpseudoplatanus,rcp45,7,0
11_101,Acerpseudoplatanus,rcp85,3,0
11_101,Aesculushippocastanum,rcp26,8,1
11_101,Aesculushippocastanum,rcp45,8,1
11_101,Aesculushippocastanum,rcp85,7,0
11_101,Alnusglutinosa,rcp26,0,0
11_101,Alnusglutinosa,rcp45,0,0
11_101,Alnusglutinosa,rcp85,0,0
11_101,Alnusincana,rcp26,0,0
11_101,Alnusincana,rcp45,0,0
11_101,Alnusincana,rcp85,0,0
11_101,Betulapendula,rcp26,6,0
11_101,Betulapendula,rcp45,3,0
11_101,Betulapendula,rcp85,2,0
11_101,Betulapubescens,rcp26,0,0
11_101,Betulapubescens,rcp45,0,0
11_101,Betulapubescens,rcp85,0,0
11_101,Carpinusbetulus,rcp26,8,1
11_101,Carpinusbetulus,rcp45,8,1
11_101,Carpinusbetulus,rcp85,8,1
11_101,Castaneasativa,rcp26,0,0
11_101,Castaneasativa,rcp45,0,0
11_101,Castaneasativa,rcp85,2,0
11_101,Fagussylvatica,rcp26,8,1
11_101,Fagussylvatica,rcp45,6,0
11_101,Fagussylvatica,rcp85,3,0
11_101,Fraxinusexcelsior,rcp26,8,1
11_101,Fraxinusexcelsior,rcp45,8,1
11_101,Fraxinusexcelsior,rcp85,8,1
11_101,Fraxinusornus,rcp26,0,0
11_101,Fraxinusornus,rcp45,0,0
11_101,Fraxinusornus,rcp85,0,0
11_101,Juglansregia,rcp26,0,0
11_101,Juglansregia,rcp45,1,0
11_101,Juglansregia,rcp85,0,0
11_101,Larixdecidua,rcp26,2,0
11_101,Larixdecidua,rcp45,2,0
11_101,Larixdecidua,rcp85,1,0
11_101,Ostryacarpinifolia,rcp26,0,0
11_101,Ostryacarpinifolia,rcp45,0,0
11_101,Ostryacarpinifolia,rcp85,0,0
11_101,Piceaabies,rcp26,1,0
11_101,Piceaabies,rcp45,1,0
11_101,Piceaabies,rcp85,1,0
11_101,Pinussylvestris,rcp26,0,0
11_101,Pinussylvestris,rcp45,1,0
11_101,Pinussylvestris,rcp85,0,0
11_101,Populusalba,rcp26,6,0
11_101,Populusalba,rcp45,7,0
11_101,Populusalba,rcp85,7,0
11_101,Populuscanescens,rcp26,3,0
11_101,Populuscanescens,rcp45,5,0
11_101,Populuscanescens,rcp85,4,0
11_101,Populusnigra,rcp26,1,0
11_101,Populusnigra,rcp45,2,0
11_101,Populusnigra,rcp85,4,0
11_101,Populustremula,rcp26,4,0
11_101,Populustremula,rcp45,6,0
11_101,Populustremula,rcp85,5,0
11_101,Prunusavium,rcp26,8,1
11_101,Prunusavium,rcp45,8,1
11_101,Prunusavium,rcp85,8,1
11_101,Quercuscerris,rcp26,0,0
11_101,Quercuscerris,rcp45,0,0
11_101,Quercuscerris,rcp85,0,0
11_101,Quercuscoccifera,rcp26,0,0
11_101,Quercuscoccifera,rcp45,0,0
11_101,Quercuscoccifera,rcp85,0,0
11_101,Quercusfaginea,rcp26,0,0
11_101,Quercusfaginea,rcp45,0,0
11_101,Quercusfaginea,rcp85,0,0
11_101,Quercusfrainetto,rcp26,0,0
11_101,Quercusfrainetto,rcp45,0,0
11_101,Quercusfrainetto,rcp85,0,0
11_101,Quercusilex,rcp26,0,0
11_101,Quercusilex,rcp45,0,0
11_101,Quercusilex,rcp85,0,0
11_101,Quercuspetraea,rcp26,8,1
11_101,Quercuspetraea,rcp45,8,1
11_101,Quercuspetraea,rcp85,7,0
11_101,Quercuspubescens,rcp26,0,0
11_101,Quercuspubescens,rcp45,0,0
11_101,Quercuspubescens,rcp85,1,0
11_101,Quercuspyrenaica,rcp26,0,0
11_101,Quercuspyrenaica,rcp45,0,0
11_101,Quercuspyrenaica,rcp85,0,0
11_101,Quercusrobur,rcp26,8,1
11_101,Quercusrobur,rcp45,8,1
11_101,Quercusrobur,rcp85,8,1
11_101,Quercussuber,rcp26,0,0
11_101,Quercussuber,rcp45,0,0
11_101,Quercussuber,rcp85,0,0
11_101,Salixalba,rcp26,0,0
11_101,Salixalba,rcp45,3,0
11_101,Salixalba,rcp85,4,0
11_101,Salixfragilis,rcp26,0,0
11_101,Salixfragilis,rcp45,0,0
11_101,Salixfragilis,rcp85,0,0
11_101,Sorbusaria,rcp26,0,0
11_101,Sorbusaria,rcp45,0,0
11_101,Sorbusaria,rcp85,0,0
11_101,Sorbusaucuparia,rcp26,1,0
11_101,Sorbusaucuparia,rcp45,0,0
11_101,Sorbusaucuparia,rcp85,0,0
11_101,Sorbustorminalis,rcp26,0,0
11_101,Sorbustorminalis,rcp45,1,0
11_101,Sorbustorminalis,rcp85,2,0
11_101,Taxusbaccata,rcp26,0,0
11_101,Taxusbaccata,rcp45,0,0
11_101,Taxusbaccata,rcp85,0,0
11_101,Tiliacordata,rcp26,1,0
11_101,Tiliacordata,rcp45,3,0
11_101,Tiliacordata,rcp85,2,0
11_101,Tiliaplatyphyllos,rcp26,7,0
11_101,Tiliaplatyphyllos,rcp45,7,0
11_101,Tiliaplatyphyllos,rcp85,7,0
11_101,Tiliatomentosa,rcp26,0,0
11_101,Tiliatomentosa,rcp45,0,0
11_101,Tiliatomentosa,rcp85,0,0
11_101,Ulmusglabra,rcp26,1,0
11_101,Ulmusglabra,rcp45,3,0
11_101,Ulmusglabra,rcp85,2,0
11_101,Ulmuslaevis,rcp26,3,0
11_101,Ulmuslaevis,rcp45,6,0
11_101,Ulmuslaevis,rcp85,4,0
11_101,Ulmusminor,rcp26,0,0
11_101,Ulmusminor,rcp45,5,0
11_101,Ulmusminor,rcp85,6,0
11_102,Abiesalba,rcp26,2,0
11_102,Abiesalba,rcp45,1,0
11_102,Abiesalba,rcp85,0,0
11_102,Acercampestre,rcp26,3,0
11_102,Acercampestre,rcp45,5,0
11_102,Acercampestre,rcp85,5,0
11_102,Acerplatanoides,rcp26,0,0
11_102,Acerplatanoides,rcp45,1,0
11_102,Acerplatanoides,rcp85,2,0
11_102,Acerpseudoplatanus,rcp26,8,1
11_102,Acerpseudoplatanus,rcp45,6,0
11_102,Acerpseudoplatanus,rcp85,3,0
11_102,Aesculushippocastanum,rcp26,8,1
11_102,Aesculushippocastanum,rcp45,8,1
11_102,Aesculushippocastanum,rcp85,7,0
11_102,Alnusglutinosa,rcp26,1,0
11_102,Alnusglutinosa,rcp45,0,0
11_102,Alnusglutinosa,rcp85,0,0
11_102,Alnusincana,rcp26,0,0
11_102,Alnusincana,rcp45,0,0
11_102,Alnusincana,rcp85,0,0
11_102,Betulapendula,rcp26,5,0
11_102,Betulapendula,rcp45,3,0
11_102,Betulapendula,rcp85,2,0
11_102,Betulapubescens,rcp26,0,0
11_102,Betulapubescens,rcp45,0,0
11_102,Betulapubescens,rcp85,0,0
11_102,Carpinusbetulus,rcp26,8,1
11_102,Carpinusbetulus,rcp45,8,1
11_102,Carpinusbetulus,rcp85,8,1
11_102,Castaneasativa,rcp26,0,0
11_102,Castaneasativa,rcp45,0,0
11_102,Castaneasativa,rcp85,2,0
11_102,Fagussylvatica,rcp26,8,1
11_102,Fagussylvatica,rcp45,6,0
11_102,Fagussylvatica,rcp85,3,0
11_102,Fraxinusexcelsior,rcp26,8,1
11_102,Fraxinusexcelsior,rcp45,8,1
11_102,Fraxinusexcelsior,rcp85,8,1
11_102,Fraxinusornus,rcp26,0,0
11_102,Fraxinusornus,rcp45,0,0
11_102,Fraxinusornus,rcp85,0,0
11_102,Juglansregia,rcp26,0,0
11_102,Juglansregia,rcp45,1,0
11_102,Juglansregia,rcp85,0,0
11_102,Larixdecidua,rcp26,2,0
11_102,Larixdecidua,rcp45,1,0
11_102,Larixdecidua,rcp85,1,0
11_102,Ostryacarpinifolia,rcp26,0,0
11_102,Ostryacarpinifolia,rcp45,0,0
11_102,Ostryacarpinifolia,rcp85,0,0
11_102,Piceaabies,rcp26,2,0
11_102,Piceaabies,rcp45,1,0
11_102,Piceaabies,rcp85,1,0
11_102,Pinussylvestris,rcp26,0,0
11_102,Pinussylvestris,rcp45,1,0
11_102,Pinussylvestris,rcp85,0,0
11_102,Populusalba,rcp26,6,0
11_102,Populusalba,rcp45,7,0
11_102,Populusalba,rcp85,7,0
11_102,Populuscanescens,rcp26,3,0
11_102,Populuscanescens,rcp45,5,0
11_102,Populuscanescens,rcp85,4,0
11_102,Populusnigra,rcp26,1,0
11_102,Populusnigra,rcp45,2,0
11_102,Populusnigra,rcp85,4,0
11_102,Populustremula,rcp26,4,0
11_102,Populustremula,rcp45,5,0
11_102,Populustremula,rcp85,5,0
11_102,Prunusavium,rcp26,8,1
11_102,Prunusavium,rcp45,8,1
11_102,Prunusavium,rcp85,8,1
11_102,Quercuscerris,rcp26,0,0
11_102,Quercuscerris,rcp45,0,0
11_102,Quercuscerris,rcp85,0,0
11_102,Quercuscoccifera,rcp26,0,0
11_102,Quercuscoccifera,rcp45,0,0
11_102,Quercuscoccifera,rcp85,0,0
11_102,Quercusfaginea,rcp26,0,0
11_102,Quercusfaginea,rcp45,0,0
11_102,Quercusfaginea,rcp85,0,0
11_102,Quercusfrainetto,rcp26,0,0
11_102,Quercusfrainetto,rcp45,0,0
11_102,Quercusfrainetto,rcp85,0,0
11_102,Quercusilex,rcp26,0,0
11_102,Quercusilex,rcp45,0,0
11_102,Quercusilex,rcp85,0,0
11_102,Quercuspetraea,rcp26,8,1
11_102,Quercuspetraea,rcp45,8,1
11_102,Quercuspetraea,rcp85,7,0
11_102,Quercuspubescens,rcp26,0,0
11_102,Quercuspubescens,rcp45,0,0
11_102,Quercuspubescens,rcp85,1,0
11_102,Quercuspyrenaica,rcp26,0,0
11_102,Quercuspyrenaica,rcp45,0,0
11_102,Quercuspyrenaica,rcp85,0,0
11_102,Quercusrobur,rcp26,8,1
11_102,Quercusrobur,rcp45,8,1
11_102,Quercusrobur,rcp85,8,1
11_102,Quercussuber,rcp26,0,0
11_102,Quercussuber,rcp45,0,0
11_102,Quercussuber,rcp85,0,0
11_102,Salixalba,rcp26,0,0
11_102,Salixalba,rcp45,3,0
11_102,Salixalba,rcp85,4,0
11_102,Salixfragilis,rcp26,0,0
11_102,Salixfragilis,rcp45,0,0
11_102,Salixfragilis,rcp85,0,0
11_102,Sorbusaria,rcp26,0,0
11_102,Sorbusaria,rcp45,0,0
11_102,Sorbusaria,rcp85,0,0
11_102,Sorbusaucuparia,rcp26,1,0
11_102,Sorbusaucuparia,rcp45,1,0
11_102,Sorbusaucuparia,rcp85,1,0
11_102,Sorbustorminalis,rcp26,0,0
11_102,Sorbustorminalis,rcp45,0,0
11_102,Sorbustorminalis,rcp85,2,0
11_102,Taxusbaccata,rcp26,0,0
11_102,Taxusbaccata,rcp45,0,0
11_102,Taxusbaccata,rcp85,0,0
11_102,Tiliacordata,rcp26,1,0
11_102,Tiliacordata,rcp45,3,0
11_102,Tiliacordata,rcp85,2,0
11_102,Tiliaplatyphyllos,rcp26,7,0
11_102,Tiliaplatyphyllos,rcp45,7,0
11_102,Tiliaplatyphyllos,rcp85,7,0
11_102,Tiliatomentosa,rcp26,0,0
11_102,Tiliatomentosa,rcp45,0,0
11_102,Tiliatomentosa,rcp85,0,0
11_102,Ulmusglabra,rcp26,2,0
11_102,Ulmusglabra,rcp45,4,0
11_102,Ulmusglabra,rcp85,2,0
11_102,Ulmuslaevis,rcp26,3,0
11_102,Ulmuslaevis,rcp45,6,0
11_102,Ulmuslaevis,rcp85,5,0
11_102,Ulmusminor,rcp26,0,0
11_102,Ulmusminor,rcp45,5,0
11_102,Ulmusminor,rcp85,6,0
11_103,Abiesalba,rcp26,2,0
11_103,Abiesalba,rcp45,1,0
11_103,Abiesalba,rcp85,0,0
11_103,Acercampestre,rcp26,3,0
11_103,Acercampestre,rcp45,5,0
11_103,Acercampestre,rcp85,5,0
11_103,Acerplatanoides,rcp26,0,0
11_103,Acerplatanoides,rcp45,1,0
11_103,Acerplatanoides,rcp85,1,0
11_103,Acerpseudoplatanus,rcp26,8,1
11_103,Acerpseudoplatanus,rcp45,7,0
11_103,Acerpseudoplatanus,rcp85,3,0
11_103,Aesculushippocastanum,rcp26,8,1
11_103,Aesculushippocastanum,rcp45,8,1
11_103,Aesculushippocastanum,rcp85,7,0
11_103,Alnusglutinosa,rcp26,0,0
11_103,Alnusglutinosa,rcp45,0,0
11_103,Alnusglutinosa,rcp85,0,0
11_103,Alnusincana,rcp26,0,0
11_103,Alnusincana,rcp45,0,0
11_103,Alnusincana,rcp85,0,0
11_103,Betulapendula,rcp26,6,0
11_103,Betulapendula,rcp45,3,0
11_103,Betulapendula,rcp85,2,0
11_103,Betulapubescens,rcp26,0,0
11_103,Betulapubescens,rcp45,0,0
11_103,Betulapubescens,rcp85,0,0
11_103,Carpinusbetulus,rcp26,8,1
11_103,Carpinusbetulus,rcp45,8,1
11_103,Carpinusbetulus,rcp85,8,1
11_103,Castaneasativa,rcp26,0,0
11_103,Castaneasativa,rcp45,0,0
11_103,Castaneasativa,rcp85,2,0
11_103,Fagussylvatica,rcp26,8,1
11_103,Fagussylvatica,rcp45,6,0
11_103,Fagussylvatica,rcp85,3,0
11_103,Fraxinusexcelsior,rcp26,8,1
11_103,Fraxinusexcelsior,rcp45,8,1
11_103,Fraxinusexcelsior,rcp85,8,1
11_103,Fraxinusornus,rcp26,0,0
11_103,Fraxinusornus,rcp45,0,0
11_103,Fraxinusornus,rcp85,0,0
11_103,Juglansregia,rcp26,0,0
11_103,Juglansregia,rcp45,1,0
11_103,Juglansregia,rcp85,0,0
11_103,Larixdecidua,rcp26,2,0
11_103,Larixdecidua,rcp45,2,0
11_103,Larixdecidua,rcp85,1,0
11_103,Ostryacarpinifolia,rcp26,0,0
11_103,Ostryacarpinifolia,rcp45,0,0
11_103,Ostryacarpinifolia,rcp85,0,0
11_103,Piceaabies,rcp26,1,0
11_103,Piceaabies,rcp45,1,0
11_103,Piceaabies,rcp85,1,0
11_103,Pinussylvestris,rcp26,0,0
11_103,Pinussylvestris,rcp45,1,0
11_103,Pinussylvestris,rcp85,0,0
11_103,Populusalba,rcp26,6,0
11_103,Populusalba,rcp45,7,0
11_103,Populusalba,rcp85,7,0
11_103,Populuscanescens,rcp26,3,0
11_103,Populuscanescens,rcp45,5,0
11_103,Populuscanescens,rcp85,4,0
11_103,Populusnigra,rcp26,1,0
11_103,Populusnigra,rcp45,2,0
11_103,Populusnigra,rcp85,4,0
11_103,Populustremula,rcp26,4,0
11_103,Populustremula,rcp45,6,0
11_103,Populustremula,rcp85,5,0
11_103,Prunusavium,rcp26,8,1
11_103,Prunusavium,rcp45,8,1
11_103,Prunusavium,rcp85,8,1
11_103,Quercuscerris,rcp26,0,0
11_103,Quercuscerris,rcp45,0,0
11_103,Quercuscerris,rcp85,0,0
11_103,Quercuscoccifera,rcp26,0,0
11_103,Quercuscoccifera,rcp45,0,0
11_103,Quercuscoccifera,rcp85,0,0
11_103,Quercusfaginea,rcp26,0,0
11_103,Quercusfaginea,rcp45,0,0
11_103,Quercusfaginea,rcp85,0,0
11_103,Quercusfrainetto,rcp26,0,0
11_103,Quercusfrainetto,rcp45,0,0
11_103,Quercusfrainetto,rcp85,0,0
11_103,Quercusilex,rcp26,0,0
11_103,Quercusilex,rcp45,0,0
11_103,Quercusilex,rcp85,0,0
11_103,Quercuspetraea,rcp26,8,1
11_103,Quercuspetraea,rcp45,8,1
11_103,Quercuspetraea,rcp85,7,0
11_103,Quercuspubescens,rcp26,0,0
11_103,Quercuspubescens,rcp45,0,0
11_103,Quercuspubescens,rcp85,1,0
11_103,Quercuspyrenaica,rcp26,0,0
11_103,Quercuspyrenaica,rcp45,0,0
11_103,Quercuspyrenaica,rcp85,0,0
11_103,Quercusrobur,rcp26,8,1
11_103,Quercusrobur,rcp45,8,1
11_103,Quercusrobur,rcp85,8,1
11_103,Quercussuber,rcp26,0,0
11_103,Quercussuber,rcp45,0,0
11_103,Quercussuber,rcp85,0,0
11_103,Salixalba,rcp26,0,0
11_103,Salixalba,rcp45,3,0
11_103,Salixalba,rcp85,4,0
11_103,Salixfragilis,rcp26,0,0
11_103,Salixfragilis,rcp45,0,0
11_103,Salixfragilis,rcp85,0,0
11_103,Sorbusaria,rcp26,0,0
11_103,Sorbusaria,rcp45,0,0
11_103,Sorbusaria,rcp85,0,0
11_103,Sorbusaucuparia,rcp26,1,0
11_103,Sorbusaucuparia,rcp45,0,0
11_103,Sorbusaucuparia,rcp85,0,0
11_103,Sorbustorminalis,rcp26,0,0
11_103,Sorbustorminalis,rcp45,1,0
11_103,Sorbustorminalis,rcp85,2,0
11_103,Taxusbaccata,rcp26,0,0
11_103,Taxusbaccata,rcp45,0,0
11_103,Taxusbaccata,rcp85,0,0
11_103,Tiliacordata,rcp26,1,0
11_103,Tiliacordata,rcp45,3,0
11_103,Tiliacordata,rcp85,2,0
11_103,Tiliaplatyphyllos,rcp26,7,0
11_103,Tiliaplatyphyllos,rcp45,7,0
11_103,Tiliaplatyphyllos,rcp85,7,0
11_103,Tiliatomentosa,rcp26,0,0
11_103,Tiliatomentosa,rcp45,0,0
11_103,Tiliatomentosa,rcp85,0,0
11_103,Ulmusglabra,rcp26,1,0
11_103,Ulmusglabra,rcp45,3,0
11_103,Ulmusglabra,rcp85,2,0
11_103,Ulmuslaevis,rcp26,3,0
11_103,Ulmuslaevis,rcp45,6,0
11_103,Ulmuslaevis,rcp85,4,0
11_103,Ulmusminor,rcp26,0,0
11_103,Ulmusminor,rcp45,5,0
11_103,Ulmusminor,rcp85,6,0
11_104,Abiesalba,rcp26,2,0
11_104,Abiesalba,rcp45,1,0
11_104,Abiesalba,rcp85,0,0
11_104,Acercampestre,rcp26,3,0
11_104,Acercampestre,rcp45,5,0
11_104,Acercampestre,rcp85,5,0
11_104,Acerplatanoides,rcp26,0,0
11_104,Acerplatanoides,rcp45,1,0
11_104,Acerplatanoides,rcp85,1,0
11_104,Acerpseudoplatanus,rcp26,8,1
11_104,Acerpseudoplatanus,rcp45,7,0
11_104,Acerpseudoplatanus,rcp85,3,0
11_104,Aesculushippocastanum,rcp26,8,1
11_104,Aesculushippocastanum,rcp45,8,1
11_104,Aesculushippocastanum,rcp85,7,0
11_104,Alnusglutinosa,rcp26,0,0
11_104,Alnusglutinosa,rcp45,0,0
11_104,Alnusglutinosa,rcp85,0,0
11_104,Alnusincana,rcp26,0,0
11_104,Alnusincana,rcp45,0,0
11_104,Alnusincana,rcp85,0,0
11_104,Betulapendula,rcp26,6,0
11_104,Betulapendula,rcp45,3,0
11_104,Betulapendula,rcp85,2,0
11_104,Betulapubescens,rcp26,0,0
11_104,Betulapubescens,rcp45,0,0
11_104,Betulapubescens,rcp85,0,0
11_104,Carpinusbetulus,rcp26,8,1
11_104,Carpinusbetulus,rcp45,8,1
11_104,Carpinusbetulus,rcp85,8,1
11_104,Castaneasativa,rcp26,0,0
11_104,Castaneasativa,rcp45,0,0
11_104,Castaneasativa,rcp85,2,0
11_104,Fagussylvatica,rcp26,8,1
11_104,Fagussylvatica,rcp45,6,0
11_104,Fagussylvatica,rcp85,3,0
11_104,Fraxinusexcelsior,rcp26,8,1
11_104,Fraxinusexcelsior,rcp45,8,1
11_104,Fraxinusexcelsior,rcp85,8,1
11_104,Fraxinusornus,rcp26,0,0
11_104,Fraxinusornus,rcp45,0,0
11_104,Fraxinusornus,rcp85,0,0
11_104,Juglansregia,rcp26,0,0
11_104,Juglansregia,rcp45,1,0
11_104,Juglansregia,rcp85,0,0
11_104,Larixdecidua,rcp26,2,0
11_104,Larixdecidua,rcp45,2,0
11_104,Larixdecidua,rcp85,1,0
11_104,Ostryacarpinifolia,rcp26,0,0
11_104,Ostryacarpinifolia,rcp45,0,0
11_104,Ostryacarpinifolia,rcp85,0,0
11_104,Piceaabies,rcp26,1,0
11_104,Piceaabies,rcp45,1,0
11_104,Piceaabies,rcp85,1,0
11_104,Pinussylvestris,rcp26,0,0
11_104,Pinussylvestris,rcp45,1,0
11_104,Pinussylvestris,rcp85,0,0
11_104,Populusalba,rcp26,6,0
11_104,Populusalba,rcp45,7,0
11_104,Populusalba,rcp85,7,0
11_104,Populuscanescens,rcp26,3,0
11_104,Populuscanescens,rcp45,5,0
11_104,Populuscanescens,rcp85,4,0
11_104,Populusnigra,rcp26,1,0
11_104,Populusnigra,rcp45,2,0
11_104,Populusnigra,rcp85,4,0
11_104,Populustremula,rcp26,4,0
11_104,Populustremula,rcp45,6,0
11_104,Populustremula,rcp85,5,0
11_104,Prunusavium,rcp26,8,1
11_104,Prunusavium,rcp45,8,1
11_104,Prunusavium,rcp85,8,1
11_104,Quercuscerris,rcp26,0,0
11_104,Quercuscerris,rcp45,0,0
11_104,Quercuscerris,rcp85,0,0
11_104,Quercuscoccifera,rcp26,0,0
11_104,Quercuscoccifera,rcp45,0,0
11_104,Quercuscoccifera,rcp85,0,0
11_104,Quercusfaginea,rcp26,0,0
11_104,Quercusfaginea,rcp45,0,0
11_104,Quercusfaginea,rcp85,0,0
11_104,Quercusfrainetto,rcp26,0,0
11_104,Quercusfrainetto,rcp45,0,0
11_104,Quercusfrainetto,rcp85,0,0
11_104,Quercusilex,rcp26,0,0
11_104,Quercusilex,rcp45,0,0
11_104,Quercusilex,rcp85,0,0
11_104,Quercuspetraea,rcp26,8,1
11_104,Quercuspetraea,rcp45,8,1
11_104,Quercuspetraea,rcp85,7,0
11_104,Quercuspubescens,rcp26,0,0
11_104,Quercuspubescens,rcp45,0,0
11_104,Quercuspubescens,rcp85,1,0
11_104,Quercuspyrenaica,rcp26,0,0
11_104,Quercuspyrenaica,rcp45,0,0
11_104,Quercuspyrenaica,rcp85,0,0
11_104,Quercusrobur,rcp26,8,1
11_104,Quercusrobur,rcp45,8,1
11_104,Quercusrobur,rcp85,8,1
11_104,Quercussuber,rcp26,0,0
11_104,Quercussuber,rcp45,0,0
11_104,Quercussuber,rcp85,0,0
11_104,Salixalba,rcp26,0,0
11_104,Salixalba,rcp45,3,0
11_104,Salixalba,rcp85,4,0
11_104,Salixfragilis,rcp26,0,0
11_104,Salixfragilis,rcp45,0,0
11_104,Salixfragilis,rcp85,0,0
11_104,Sorbusaria,rcp26,0,0
11_104,Sorbusaria,rcp45,0,0
11_104,Sorbusaria,rcp85,0,0
11_104,Sorbusaucuparia,rcp26,1,0
11_104,Sorbusaucuparia,rcp45,0,0
11_104,Sorbusaucuparia,rcp85,0,0
11_104,Sorbustorminalis,rcp26,0,0
11_104,Sorbustorminalis,rcp45,1,0
11_104,Sorbustorminalis,rcp85,2,0
11_104,Taxusbaccata,rcp26,0,0
11_104,Taxusbaccata,rcp45,0,0
11_104,Taxusbaccata,rcp85,0,0
11_104,Tiliacordata,rcp26,1,0
11_104,Tiliacordata,rcp45,3,0
11_104,Tiliacordata,rcp85,2,0
11_104,Tiliaplatyphyllos,rcp26,7,0
11_104,Tiliaplatyphyllos,rcp45,7,0
11_104,Tiliaplatyphyllos,rcp85,7,0
11_104,Tiliatomentosa,rcp26,0,0
11_104,Tiliatomentosa,rcp45,0,0
11_104,Tiliatomentosa,rcp85,0,0
11_104,Ulmusglabra,rcp26,1,0
11_104,Ulmusglabra,rcp45,3,0
11_104,Ulmusglabra,rcp85,2,0
11_104,Ulmuslaevis,rcp26,3,0
11_104,Ulmuslaevis,rcp45,6,0
11_104,Ulmuslaevis,rcp85,4,0
11_104,Ulmusminor,rcp26,0,0
11_104,Ulmusminor,rcp45,5,0
11_104,Ulmusminor,rcp85,6,0
11_105,Abiesalba,rcp26,2,0
11_105,Abiesalba,rcp45,1,0
11_105,Abiesalba,rcp85,0,0
11_105,Acercampestre,rcp26,3,0
11_105,Acercampestre,rcp45,5,0
11_105,Acercampestre,rcp85,5,0
11_105,Acerplatanoides,rcp26,0,0
11_105,Acerplatanoides,rcp45,1,0
11_105,Acerplatanoides,rcp85,2,0
11_105,Acerpseudoplatanus,rcp26,8,1
11_105,Acerpseudoplatanus,rcp45,6,0
11_105,Acerpseudoplatanus,rcp85,3,0
11_105,Aesculushippocastanum,rcp26,8,1
11_105,Aesculushippocastanum,rcp45,8,1
11_105,Aesculushippocastanum,rcp85,8,1
11_105,Alnusglutinosa,rcp26,1,0
11_105,Alnusglutinosa,rcp45,0,0
11_105,Alnusglutinosa,rcp85,0,0
11_105,Alnusincana,rcp26,0,0
11_105,Alnusincana,rcp45,0,0
11_105,Alnusincana,rcp85,0,0
11_105,Betulapendula,rcp26,6,0
11_105,Betulapendula,rcp45,3,0
11_105,Betulapendula,rcp85,2,0
11_105,Betulapubescens,rcp26,0,0
11_105,Betulapubescens,rcp45,0,0
11_105,Betulapubescens,rcp85,0,0
11_105,Carpinusbetulus,rcp26,8,1
11_105,Carpinusbetulus,rcp45,8,1
11_105,Carpinusbetulus,rcp85,8,1
11_105,Castaneasativa,rcp26,0,0
11_105,Castaneasativa,rcp45,0,0
11_105,Castaneasativa,rcp85,2,0
11_105,Fagussylvatica,rcp26,8,1
11_105,Fagussylvatica,rcp45,6,0
11_105,Fagussylvatica,rcp85,3,0
11_105,Fraxinusexcelsior,rcp26,8,1
11_105,Fraxinusexcelsior,rcp45,8,1
11_105,Fraxinusexcelsior,rcp85,8,1
11_105,Fraxinusornus,rcp26,0,0
11_105,Fraxinusornus,rcp45,0,0
11_105,Fraxinusornus,rcp85,0,0
11_105,Juglansregia,rcp26,0,0
11_105,Juglansregia,rcp45,2,0
11_105,Juglansregia,rcp85,0,0
11_105,Larixdecidua,rcp26,2,0
11_105,Larixdecidua,rcp45,1,0
11_105,Larixdecidua,rcp85,1,0
11_105,Ostryacarpinifolia,rcp26,0,0
11_105,Ostryacarpinifolia,rcp45,0,0
11_105,Ostryacarpinifolia,rcp85,0,0
11_105,Piceaabies,rcp26,2,0
11_105,Piceaabies,rcp45,1,0
11_105,Piceaabies,rcp85,1,0
11_105,Pinussylvestris,rcp26,0,0
11_105,Pinussylvestris,rcp45,1,0
11_105,Pinussylvestris,rcp85,0,0
11_105,Populusalba,rcp26,6,0
11_105,Populusalba,rcp45,7,0
11_105,Populusalba,rcp85,7,0
11_105,Populuscanescens,rcp26,3,0
11_105,Populuscanescens,rcp45,5,0
11_105,Populuscanescens,rcp85,4,0
11_105,Populusnigra,rcp26,1,0
11_105,Populusnigra,rcp45,2,0
11_105,Populusnigra,rcp85,3,0
11_105,Populustremula,rcp26,4,0
11_105,Populustremula,rcp45,5,0
11_105,Populustremula,rcp85,5,0
11_105,Prunusavium,rcp26,8,1
11_105,Prunusavium,rcp45,8,1
11_105,Prunusavium,rcp85,8,1
11_105,Quercuscerris,rcp26,0,0
11_105,Quercuscerris,rcp45,0,0
11_105,Quercuscerris,rcp85,0,0
11_105,Quercuscoccifera,rcp26,0,0
11_105,Quercuscoccifera,rcp45,0,0
11_105,Quercuscoccifera,rcp85,0,0
11_105,Quercusfaginea,rcp26,0,0
11_105,Quercusfaginea,rcp45,0,0
11_105,Quercusfaginea,rcp85,0,0
11_105,Quercusfrainetto,rcp26,0,0
11_105,Quercusfrainetto,rcp45,0,0
11_105,Quercusfrainetto,rcp85,0,0
11_105,Quercusilex,rcp26,0,0
11_105,Quercusilex,rcp45,0,0
11_105,Quercusilex,rcp85,0,0
11_105,Quercuspetraea,rcp26,8,1
11_105,Quercuspetraea,rcp45,8,1
11_105,Quercuspetraea,rcp85,7,0
11_105,Quercuspubescens,rcp26,0,0
11_105,Quercuspubescens,rcp45,0,0
