plot,country_unique,country_pooled,region,x,y,stem_regeneration,adv_delayed,sum_stems_juvenile,sum_stems_sapling,sum_stems_mature,stem_density,n_vertical,richness,disturbance_severity,distance_edge,tmp,prcp,tmp_z,prcp_z,spei1,spei3,spei12,drought_tmp,drought_prcp,drought_spei1,drought_spei3,drought_spei12,elevation,slope,aspect,sand_extract,clay_extract,depth_extract,av.nitro,cv_t2m,cv_tp
11_101,DE,DE,11,651006.416573738,5728982.53272081,500,Intermediate,0,500,0,500,1,1,0.951046407222748,60,10.2389251912895,577.675542490401,1.87258936976154,-1.12414984031125,-0.91862243217715,-1.11611789536385,-1.45799133516073,10.2886803304223,651.992969540005,-1.01479904714369,-1.17108557569411,-1.66653949200228,374.071807861328,1.4624226452983,354.167693835942,40.525691986084,22.1032905578613,130,54.924861907959,0.0233145874534416,0.404416332332178
11_102,DE,DE,11,651043.151575781,5729202.59286011,18000,Advanced,1000,17000,0,18000,2,7,0.999926328659058,42,10.2389251912895,577.675542490401,1.87258936976154,-1.12414984031125,-0.918622488139869,-1.11611969089996,-1.45799025128721,10.2886803304223,651.992969540005,-1.01479903268261,-1.17108119598931,-1.66654482307804,381.85595703125,2.15751627032134,131.448634094676,40.525691986084,22.1032905578613,130,54.924861907959,0.0233145874534416,0.404416332332178
11_103,DE,DE,11,651248.74416202,5728825.81344253,21500,Advanced,1000,20500,0,21500,2,8,0.748954772949219,30,10.2389251912895,577.675542490401,1.87258936976154,-1.12414984031125,-0.918622389939345,-1.11611653974377,-1.45799215232247,10.2886803304223,651.992969540005,-1.01479905795474,-1.17108884987827,-1.66653550657109,378.328369140625,2.09074113654766,70.8503902813075,40.1549987792969,22.5606651306152,130,56.1057777404785,0.0233145874534416,0.404416332332178
11_104,DE,DE,11,651526.946753671,5728909.6909284,8500,Intermediate,0,8500,0,8500,1,4,0.998928964138031,42,10.2389251912895,577.675542490401,1.87258936976154,-1.12414984031125,-0.918622409461936,-1.11611716808909,-1.45799177826728,10.2886803304223,651.992969540005,-1.01479905297175,-1.17108734075509,-1.66653734352137,379.630706787109,2.74321231186816,251.609314407771,40.1549987792969,22.5606651306152,130,56.1057777404785,0.0233145874534416,0.404416332332178
11_105,DE,DE,11,652404.806493741,5729101.23558053,7000,Intermediate,0,7000,0,7000,1,5,0.998215675354004,85,10.2389251912895,577.675542490401,1.87258936976154,-1.12414984031125,-0.918622451638566,-1.11611852067914,-1.45799096009867,10.2886803304223,651.992969540005,-1.01479904207454,-1.17108404045596,-1.66654136073236,355.910736083984,2.94544361549471,33.5627457038541,21.8516578674316,46.7829170227051,130,57.1674346923828,0.0233145874534416,0.404416332332178
11_106,DE,DE,11,650360.466859831,5732333.7425076,500,Intermediate,0,500,500,1000,2,2,0.860380411148071,42,10.2389251912895,577.675542490401,1.87258936976154,-1.12414984031125,-0.918623294737164,-1.11614556154642,-1.45797461451184,10.2886803304223,651.992969540005,-1.01479882444699,-1.17101806717788,-1.66662160010892,304.574890136719,5.82054724113496,349.332193894206,44.5214309692383,19.4237213134766,125.444122314453,53.0634307861328,0.0233145874534416,0.404416332332178
11_107,DE,DE,11,649815.740723162,5731245.89655385,7500,Intermediate,0,7500,0,7500,1,5,0.999507546424866,67,10.2389251912895,577.675542490401,1.87258936976154,-1.12414984031125,-0.91862302024584,-1.11613675730611,-1.4579799346651,10.2886803304223,651.992969540005,-1.01479889533646,-1.17103956640287,-1.66659546066318,346.012145996094,3.9754452046833,152.049121421256,42,20,130,48.6230392456055,0.0233145874534416,0.404416332332178
11_108,DE,DE,11,650077.267191939,5731148.73096923,0,Delayed,0,0,0,0,0,0,0.999978721141815,60,10.2389251912895,577.675542490401,1.87258936976154,-1.12414984031125,-0.918622993615648,-1.11613590286531,-1.45798045025618,10.2886803304223,651.992969540005,-1.01479890226246,-1.1710416667711,-1.66659290692909,351.744537353516,3.02316129868699,194.758090192012,42.1774711608887,19.9369773864746,130,47.0182075500488,0.0233145874534416,0.404416332332178
11_109,DE,DE,11,643900.220713079,5730905.23180698,5000,Advanced,3000,2000,0,5000,2,2,0.984654247760773,60,9.90398588599801,605.448120712921,1.87464698333697,-1.11147734298003,-0.924920558152559,-1.10397193316914,-1.45825258801654,9.96258707294921,679.281509394919,-0.996512074020376,-1.16613905211418,-1.65223282888742,409.533416748047,3.24910057921983,320.493727775249,75.7309722900391,9.63771533966064,130,51.7870979309082,0.0232674385476915,0.412031184594315
11_110,DE,DE,11,643665.160185644,5730502.98409172,3500,Advanced,1000,2500,0,3500,2,3,0.999999642372131,60,9.90398588599801,605.448120712921,1.87464698333697,-1.11147734298003,-0.924920449141362,-1.10396877427981,-1.45823788739164,9.96258707294921,679.281509394919,-0.996512102672794,-1.16613887211171,-1.65222326576036,441.929718017578,4.55541647214947,46.0439546052647,75,10,130,56.6217880249024,0.0232674385476915,0.412031184594315
11_111,DE,DE,11,641998.753441505,5729558.90720363,2000,Intermediate,0,2000,0,2000,1,2,0.99329537153244,60,9.90398588599801,605.448120712921,1.87464698333697,-1.11147734298003,-0.924920198556915,-1.10396164566219,-1.45820458829338,9.96258707294921,679.281509394919,-0.996512167326797,-1.166138465069,-1.65220148215941,554.77490234375,4.22384222752027,182.742431177241,75.3234405517578,9.83945178985596,130,57.3580856323242,0.0232674385476915,0.412031184594315
11_112,DE,DE,11,637259.88497391,5728034.01462619,500,Intermediate,0,500,0,500,1,1,1,153,9.53155175346232,636.67210294794,1.87535433894463,-1.11521441585327,-0.937088814207664,-1.10908085514034,-1.45150957084027,9.60328233770185,710.863259119038,-1.00595426681217,-1.15151503528854,-1.6445370436361,463.792327880859,2.14065303519601,37.2726188945998,41.271369934082,20.9835529327393,130,59.857421875,0.023201703520232,0.423732428000255
