"site","disturbance_severity","distance_edge","country","VegType","Species","stem_density"
"11_102",0.999926328659058,42,"DE","Juveniles","juni",0
"11_102",0.999926328659058,42,"DE","Juveniles","jure",0
"11_102",0.999926328659058,42,"DE","Juveniles","qusp",0
"11_102",0.999926328659058,42,"DE","Juveniles","sasp",0
"11_102",0.999926328659058,42,"DE","Juveniles","aial",0
"11_102",0.999926328659058,42,"DE","Juveniles","osca",0
"11_102",0.999926328659058,42,"DE","Juveniles","fror",0
"11_102",0.999926328659058,42,"DE","Juveniles","ilaq",0
"11_102",0.999926328659058,42,"DE","Juveniles","pist",0
"11_102",0.999926328659058,42,"DE","Saplings","piab",0
"11_102",0.999926328659058,42,"DE","Saplings","pisy",500
"11_102",0.999926328659058,42,"DE","Saplings","lade",500
"11_102",0.999926328659058,42,"DE","Saplings","abal",0
"11_102",0.999926328659058,42,"DE","Saplings","psme",500
"11_102",0.999926328659058,42,"DE","Saplings","taba",0
"11_102",0.999926328659058,42,"DE","Saplings","fasy",500
"11_102",0.999926328659058,42,"DE","Saplings","quro",500
"11_102",0.999926328659058,42,"DE","Saplings","acca",0
"11_102",0.999926328659058,42,"DE","Saplings","acpl",0
"11_102",0.999926328659058,42,"DE","Saplings","acps",0
"11_102",0.999926328659058,42,"DE","Saplings","algl",0
"11_102",0.999926328659058,42,"DE","Saplings","alin",0
"11_102",0.999926328659058,42,"DE","Saplings","alvi",0
"11_102",0.999926328659058,42,"DE","Saplings","potr",9500
"11_102",0.999926328659058,42,"DE","Saplings","posp",0
"11_102",0.999926328659058,42,"DE","Saplings","besp",0
"11_102",0.999926328659058,42,"DE","Saplings","frex",0
"11_102",0.999926328659058,42,"DE","Saplings","tisp",0
"11_102",0.999926328659058,42,"DE","Saplings","prav",0
"11_102",0.999926328659058,42,"DE","Saplings","soau",0
"11_102",0.999926328659058,42,"DE","Saplings","soto",0
"11_102",0.999926328659058,42,"DE","Saplings","soar",0
"11_102",0.999926328659058,42,"DE","Saplings","casa",0
"11_102",0.999926328659058,42,"DE","Saplings","aehi",0
"11_102",0.999926328659058,42,"DE","Saplings","cabe",5000
"11_102",0.999926328659058,42,"DE","Saplings","ulsp",0
"11_102",0.999926328659058,42,"DE","Saplings","rops",0
"11_102",0.999926328659058,42,"DE","Saplings","saca",0
"11_102",0.999926328659058,42,"DE","Saplings","juni",0
"11_102",0.999926328659058,42,"DE","Saplings","jure",0
"11_102",0.999926328659058,42,"DE","Saplings","qusp",0
"11_102",0.999926328659058,42,"DE","Saplings","sasp",0
"11_102",0.999926328659058,42,"DE","Saplings","aial",0
"11_102",0.999926328659058,42,"DE","Saplings","osca",0
"11_102",0.999926328659058,42,"DE","Saplings","fror",0
"11_102",0.999926328659058,42,"DE","Saplings","ilaq",0
"11_102",0.999926328659058,42,"DE","Saplings","pist",0
"11_103",0.748954772949219,30,"DE","Juveniles","piab",0
"11_103",0.748954772949219,30,"DE","Juveniles","pisy",0
"11_103",0.748954772949219,30,"DE","Juveniles","lade",0
"11_103",0.748954772949219,30,"DE","Juveniles","abal",0
"11_103",0.748954772949219,30,"DE","Juveniles","psme",0
"11_103",0.748954772949219,30,"DE","Juveniles","taba",0
"11_103",0.748954772949219,30,"DE","Juveniles","fasy",0
"11_103",0.748954772949219,30,"DE","Juveniles","quro",0
"11_103",0.748954772949219,30,"DE","Juveniles","acca",0
"11_103",0.748954772949219,30,"DE","Juveniles","acpl",0
"11_103",0.748954772949219,30,"DE","Juveniles","acps",0
"11_103",0.748954772949219,30,"DE","Juveniles","algl",0
"11_103",0.748954772949219,30,"DE","Juveniles","alin",0
"11_103",0.748954772949219,30,"DE","Juveniles","alvi",0
"11_103",0.748954772949219,30,"DE","Juveniles","potr",0
"11_103",0.748954772949219,30,"DE","Juveniles","posp",0
"11_103",0.748954772949219,30,"DE","Juveniles","besp",0
"11_103",0.748954772949219,30,"DE","Juveniles","frex",0
"11_103",0.748954772949219,30,"DE","Juveniles","tisp",0
"11_103",0.748954772949219,30,"DE","Juveniles","prav",0
"11_103",0.748954772949219,30,"DE","Juveniles","soau",0
"11_103",0.748954772949219,30,"DE","Juveniles","soto",0
"11_103",0.748954772949219,30,"DE","Juveniles","soar",0
"11_103",0.748954772949219,30,"DE","Juveniles","casa",0
"11_103",0.748954772949219,30,"DE","Juveniles","aehi",0
"11_103",0.748954772949219,30,"DE","Juveniles","cabe",500
"11_103",0.748954772949219,30,"DE","Juveniles","ulsp",0
"11_103",0.748954772949219,30,"DE","Juveniles","rops",0
"11_103",0.748954772949219,30,"DE","Juveniles","saca",500
"11_103",0.748954772949219,30,"DE","Juveniles","juni",0
"11_103",0.748954772949219,30,"DE","Juveniles","jure",0
"11_103",0.748954772949219,30,"DE","Juveniles","qusp",0
"11_103",0.748954772949219,30,"DE","Juveniles","sasp",0
"11_103",0.748954772949219,30,"DE","Juveniles","aial",0
"11_103",0.748954772949219,30,"DE","Juveniles","osca",0
"11_103",0.748954772949219,30,"DE","Juveniles","fror",0
"11_103",0.748954772949219,30,"DE","Juveniles","ilaq",0
"11_103",0.748954772949219,30,"DE","Juveniles","pist",0
"11_103",0.748954772949219,30,"DE","Saplings","piab",2000
"11_103",0.748954772949219,30,"DE","Saplings","pisy",0
"11_103",0.748954772949219,30,"DE","Saplings","lade",1000
"11_103",0.748954772949219,30,"DE","Saplings","abal",0
"11_103",0.748954772949219,30,"DE","Saplings","psme",0
"11_103",0.748954772949219,30,"DE","Saplings","taba",0
"11_103",0.748954772949219,30,"DE","Saplings","fasy",1000
"11_103",0.748954772949219,30,"DE","Saplings","quro",1500
"11_103",0.748954772949219,30,"DE","Saplings","acca",0
"11_103",0.748954772949219,30,"DE","Saplings","acpl",0
"11_103",0.748954772949219,30,"DE","Saplings","acps",2500
"11_103",0.748954772949219,30,"DE","Saplings","algl",0
"11_103",0.748954772949219,30,"DE","Saplings","alin",0
"11_103",0.748954772949219,30,"DE","Saplings","alvi",0
"11_103",0.748954772949219,30,"DE","Saplings","potr",9000
"11_103",0.748954772949219,30,"DE","Saplings","posp",0
"11_103",0.748954772949219,30,"DE","Saplings","besp",0
"11_103",0.748954772949219,30,"DE","Saplings","frex",0
"11_103",0.748954772949219,30,"DE","Saplings","tisp",0
"11_103",0.748954772949219,30,"DE","Saplings","prav",0
"11_103",0.748954772949219,30,"DE","Saplings","soau",0
"11_103",0.748954772949219,30,"DE","Saplings","soto",0
"11_103",0.748954772949219,30,"DE","Saplings","soar",0
"11_103",0.748954772949219,30,"DE","Saplings","casa",0
"11_103",0.748954772949219,30,"DE","Saplings","aehi",0
"11_103",0.748954772949219,30,"DE","Saplings","cabe",3500
"11_103",0.748954772949219,30,"DE","Saplings","ulsp",0
"11_103",0.748954772949219,30,"DE","Saplings","rops",0
"11_103",0.748954772949219,30,"DE","Saplings","saca",0
"11_103",0.748954772949219,30,"DE","Saplings","juni",0
"11_103",0.748954772949219,30,"DE","Saplings","jure",0
"11_103",0.748954772949219,30,"DE","Saplings","qusp",0
"11_103",0.748954772949219,30,"DE","Saplings","sasp",0
"11_103",0.748954772949219,30,"DE","Saplings","aial",0
"11_103",0.748954772949219,30,"DE","Saplings","osca",0
"11_103",0.748954772949219,30,"DE","Saplings","fror",0
"11_103",0.748954772949219,30,"DE","Saplings","ilaq",0
"11_103",0.748954772949219,30,"DE","Saplings","pist",0
"11_104",0.998928964138031,42,"DE","Juveniles","piab",0
"11_104",0.998928964138031,42,"DE","Juveniles","pisy",0
"11_104",0.998928964138031,42,"DE","Juveniles","lade",0
"11_104",0.998928964138031,42,"DE","Juveniles","abal",0
"11_104",0.998928964138031,42,"DE","Juveniles","psme",0
"11_104",0.998928964138031,42,"DE","Juveniles","taba",0
"11_104",0.998928964138031,42,"DE","Juveniles","fasy",0
"11_104",0.998928964138031,42,"DE","Juveniles","quro",0
"11_104",0.998928964138031,42,"DE","Juveniles","acca",0
"11_104",0.998928964138031,42,"DE","Juveniles","acpl",0
"11_104",0.998928964138031,42,"DE","Juveniles","acps",0
"11_104",0.998928964138031,42,"DE","Juveniles","algl",0
"11_104",0.998928964138031,42,"DE","Juveniles","alin",0
"11_104",0.998928964138031,42,"DE","Juveniles","alvi",0
"11_104",0.998928964138031,42,"DE","Juveniles","potr",0
"11_104",0.998928964138031,42,"DE","Juveniles","posp",0
"11_104",0.998928964138031,42,"DE","Juveniles","besp",0
"11_104",0.998928964138031,42,"DE","Juveniles","frex",0
"11_104",0.998928964138031,42,"DE","Juveniles","tisp",0
"11_104",0.998928964138031,42,"DE","Juveniles","prav",0
"11_104",0.998928964138031,42,"DE","Juveniles","soau",0
"11_104",0.998928964138031,42,"DE","Juveniles","soto",0
"11_104",0.998928964138031,42,"DE","Juveniles","soar",0
"11_104",0.998928964138031,42,"DE","Juveniles","casa",0
"11_104",0.998928964138031,42,"DE","Juveniles","aehi",0
"11_104",0.998928964138031,42,"DE","Juveniles","cabe",0
"11_104",0.998928964138031,42,"DE","Juveniles","ulsp",0
"11_104",0.998928964138031,42,"DE","Juveniles","rops",0
"11_104",0.998928964138031,42,"DE","Juveniles","saca",0
"11_104",0.998928964138031,42,"DE","Juveniles","juni",0
"11_104",0.998928964138031,42,"DE","Juveniles","jure",0
"11_104",0.998928964138031,42,"DE","Juveniles","qusp",0
"11_104",0.998928964138031,42,"DE","Juveniles","sasp",0
"11_104",0.998928964138031,42,"DE","Juveniles","aial",0
"11_104",0.998928964138031,42,"DE","Juveniles","osca",0
"11_104",0.998928964138031,42,"DE","Juveniles","fror",0
"11_104",0.998928964138031,42,"DE","Juveniles","ilaq",0
"11_104",0.998928964138031,42,"DE","Juveniles","pist",0
"11_104",0.998928964138031,42,"DE","Saplings","piab",500
"11_104",0.998928964138031,42,"DE","Saplings","pisy",0
"11_104",0.998928964138031,42,"DE","Saplings","lade",2500
"11_104",0.998928964138031,42,"DE","Saplings","abal",0
"11_104",0.998928964138031,42,"DE","Saplings","psme",1000
"11_104",0.998928964138031,42,"DE","Saplings","taba",0
"11_104",0.998928964138031,42,"DE","Saplings","fasy",0
"11_104",0.998928964138031,42,"DE","Saplings","quro",0
"11_104",0.998928964138031,42,"DE","Saplings","acca",0
"11_104",0.998928964138031,42,"DE","Saplings","acpl",0
"11_104",0.998928964138031,42,"DE","Saplings","acps",0
"11_104",0.998928964138031,42,"DE","Saplings","algl",0
"11_104",0.998928964138031,42,"DE","Saplings","alin",0
"11_104",0.998928964138031,42,"DE","Saplings","alvi",0
"11_104",0.998928964138031,42,"DE","Saplings","potr",4500
"11_104",0.998928964138031,42,"DE","Saplings","posp",0
"11_104",0.998928964138031,42,"DE","Saplings","besp",0
"11_104",0.998928964138031,42,"DE","Saplings","frex",0
"11_104",0.998928964138031,42,"DE","Saplings","tisp",0
"11_104",0.998928964138031,42,"DE","Saplings","prav",0
"11_104",0.998928964138031,42,"DE","Saplings","soau",0
"11_104",0.998928964138031,42,"DE","Saplings","soto",0
"11_104",0.998928964138031,42,"DE","Saplings","soar",0
"11_104",0.998928964138031,42,"DE","Saplings","casa",0
"11_104",0.998928964138031,42,"DE","Saplings","aehi",0
"11_104",0.998928964138031,42,"DE","Saplings","cabe",0
"11_104",0.998928964138031,42,"DE","Saplings","ulsp",0
"11_104",0.998928964138031,42,"DE","Saplings","rops",0
"11_104",0.998928964138031,42,"DE","Saplings","saca",0
"11_104",0.998928964138031,42,"DE","Saplings","juni",0
"11_104",0.998928964138031,42,"DE","Saplings","jure",0
"11_104",0.998928964138031,42,"DE","Saplings","qusp",0
"11_104",0.998928964138031,42,"DE","Saplings","sasp",0
"11_104",0.998928964138031,42,"DE","Saplings","aial",0
"11_104",0.998928964138031,42,"DE","Saplings","osca",0
"11_104",0.998928964138031,42,"DE","Saplings","fror",0
"11_104",0.998928964138031,42,"DE","Saplings","ilaq",0
"11_104",0.998928964138031,42,"DE","Saplings","pist",0
"11_105",0.998215675354004,85,"DE","Juveniles","piab",0
"11_105",0.998215675354004,85,"DE","Juveniles","pisy",0
"11_105",0.998215675354004,85,"DE","Juveniles","lade",0
"11_105",0.998215675354004,85,"DE","Juveniles","abal",0
"11_105",0.998215675354004,85,"DE","Juveniles","psme",0
"11_105",0.998215675354004,85,"DE","Juveniles","taba",0
"11_105",0.998215675354004,85,"DE","Juveniles","fasy",0
"11_105",0.998215675354004,85,"DE","Juveniles","quro",0
"11_105",0.998215675354004,85,"DE","Juveniles","acca",0
"11_105",0.998215675354004,85,"DE","Juveniles","acpl",0
"11_105",0.998215675354004,85,"DE","Juveniles","acps",0
"11_105",0.998215675354004,85,"DE","Juveniles","algl",0
"11_105",0.998215675354004,85,"DE","Juveniles","alin",0
"11_105",0.998215675354004,85,"DE","Juveniles","alvi",0
"11_105",0.998215675354004,85,"DE","Juveniles","potr",0
"11_105",0.998215675354004,85,"DE","Juveniles","posp",0
"11_105",0.998215675354004,85,"DE","Juveniles","besp",0
"11_105",0.998215675354004,85,"DE","Juveniles","frex",0
"11_105",0.998215675354004,85,"DE","Juveniles","tisp",0
"11_105",0.998215675354004,85,"DE","Juveniles","prav",0
"11_105",0.998215675354004,85,"DE","Juveniles","soau",0
"11_105",0.998215675354004,85,"DE","Juveniles","soto",0
"11_105",0.998215675354004,85,"DE","Juveniles","soar",0
"11_105",0.998215675354004,85,"DE","Juveniles","casa",0
"11_105",0.998215675354004,85,"DE","Juveniles","aehi",0
"11_105",0.998215675354004,85,"DE","Juveniles","cabe",0
"11_105",0.998215675354004,85,"DE","Juveniles","ulsp",0
"11_105",0.998215675354004,85,"DE","Juveniles","rops",0
"11_105",0.998215675354004,85,"DE","Juveniles","saca",0
"11_105",0.998215675354004,85,"DE","Juveniles","juni",0
"11_105",0.998215675354004,85,"DE","Juveniles","jure",0
"11_105",0.998215675354004,85,"DE","Juveniles","qusp",0
"11_105",0.998215675354004,85,"DE","Juveniles","sasp",0
"11_105",0.998215675354004,85,"DE","Juveniles","aial",0
"11_105",0.998215675354004,85,"DE","Juveniles","osca",0
"11_105",0.998215675354004,85,"DE","Juveniles","fror",0
"11_105",0.998215675354004,85,"DE","Juveniles","ilaq",0
"11_105",0.998215675354004,85,"DE","Juveniles","pist",0
"11_105",0.998215675354004,85,"DE","Saplings","piab",2500
"11_105",0.998215675354004,85,"DE","Saplings","pisy",0
"11_105",0.998215675354004,85,"DE","Saplings","lade",1000
"11_105",0.998215675354004,85,"DE","Saplings","abal",0
"11_105",0.998215675354004,85,"DE","Saplings","psme",0
"11_105",0.998215675354004,85,"DE","Saplings","taba",0
"11_105",0.998215675354004,85,"DE","Saplings","fasy",0
"11_105",0.998215675354004,85,"DE","Saplings","quro",0
"11_105",0.998215675354004,85,"DE","Saplings","acca",0
"11_105",0.998215675354004,85,"DE","Saplings","acpl",0
"11_105",0.998215675354004,85,"DE","Saplings","acps",0
"11_105",0.998215675354004,85,"DE","Saplings","algl",2500
"11_105",0.998215675354004,85,"DE","Saplings","alin",0
"11_105",0.998215675354004,85,"DE","Saplings","alvi",0
"11_105",0.998215675354004,85,"DE","Saplings","potr",500
"11_105",0.998215675354004,85,"DE","Saplings","posp",0
"11_105",0.998215675354004,85,"DE","Saplings","besp",0
"11_105",0.998215675354004,85,"DE","Saplings","frex",0
"11_105",0.998215675354004,85,"DE","Saplings","tisp",0
